Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
BKK Budapesti Közlekedési Központ Zártkörűen Működő Részvénytársaság,Issuer,23028966444,4,0.004221808,0.18759502,-0.39995736,0.5445274,2.122933,32,0.025095213264996627,0.14744321066552604,0.0035275529580444335,0.010178117048346057,0.2858181818181818,0.41373107,-5.9604645e-08
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Issuer,12464780251,2,-0.027172398,0.22893327,-0.66841465,0.55969197,2.6082647,17,0.16524679077392387,0.009361942741770813,0.003121489353975943,0.0076335877862595426,0.27348643006263046,0.29598776,-1.1920929e-07
DMRV Duna Menti Regionális Vízmű Zártkörűen Működő Társaság,Issuer,10863877244,4,-0.00090841204,0.23974434,-0.53093314,0.7095354,2.7124171,32,0.0,0.02038099970963652,0.0011835582803433908,0.002544529262086514,0.2160527762506872,0.4245468,-5.9604645e-08
Monor Város Önkormányzata,Issuer,15730648213,2,0.009389538,0.23912154,-0.718569,0.6282177,2.707436,17,0.01778624297117283,0.007907252825189457,0.0020702472945913018,0.005089058524173028,0.2409564684242796,0.34534854,-2.3841858e-07
Vasútegészségügyi Szolgáltató Nonprofit Közhasznú Korlátolt Felelősségű Társaság,Issuer,18159422242,7,-0.017634558,0.2357346,-0.5427645,0.54310733,2.6744845,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.40415648,-5.9604645e-08
Hajdú-Bihar Megyei Kormányhivatal,Issuer,15789312209,7,-0.022897515,0.24510539,-0.62520486,0.5043337,2.7851248,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.4068609,1.1920929e-07
Rakamaz Város Önkormányzata,Issuer,15732389215,6,0.0059118094,0.19521716,-0.4404595,0.48312452,2.2096424,25,0.003526443091906046,0.05927841553703521,0.0019012461394574116,0.005089058524173028,0.254698639014906,0.40649816,-5.9604645e-08
Eger Megyei Jogú Város Önkormányzata,Issuer,15729325210,3,-0.006160314,0.21559675,-0.48188913,0.6407967,2.4401944,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44828552,1.1920929e-07
Ajka Város Önkormányzata,Issuer,15734185219,6,0.017405778,0.20087242,-0.40068823,0.5275883,2.281128,25,0.003526443091906046,0.05927841553703521,0.0019012461394574116,0.005089058524173028,0.254698639014906,0.4138754,0.0
Balassagyarmat Város Önkormányzata,Issuer,15735272212,4,0.0054021217,0.22655632,-0.53371143,0.65115184,2.5639207,32,0.0,0.02038099970963652,0.0011835582803433908,0.002544529262086514,0.2160527762506872,0.41751614,-5.9604645e-08
Nagykovácsi Nagyközség Önkormányzata,Issuer,15730198213,1,0.03246489,0.22687037,-0.568372,0.7197206,2.592892,35,0.03762742344319489,0.05277462825441477,0.002816326650389666,0.0076335877862595426,0.254698639014906,0.34235728,1.1920929e-07
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Répcevis Község Önkormányzata|Nagyszentjános Község Önkormányzata|Zsira Község Önkormányzata|Szakony Község Önkormányzata|Gyalóka Község Önkormányzata,Issuer,24290188241|15370684208|15728159208|15370859208|15367149208|15370354208,5,-0.035904992,0.19036634,-0.5275657,0.38409883,2.191723,36,0.0,0.033152482328318966,0.0011653312086282869,0.002544529262086514,0.24304267161410018,0.42192173,-2.3841858e-07
Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,Winner,"23037108203,HU23037108,03-10-100434",2,-0.010350775,0.23563196,-0.60672677,0.5025031,2.6684422,17,0.1363775970738236,0.032524093421445036,0.01666769150043848,0.04071246819338423,0.30207532667179093,0.352687,2.3841858e-07
